,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2139826,2015,5,16,6,UA,1511,N18220,PHX,ORD,1413,1417,4,11,1428,207,192,171,1440,1919,10,1940,1929,-11,0,0,,,,,,
1511401,2015,4,7,2,AA,343,N3ALAA,LGA,ORD,1630,1704,34,31,1735,170,184,137,733,1852,16,1820,1908,48,0,0,,14,0,0,34,0
113158,2015,1,8,4,OO,2640,N988CA,ORD,ICT,0835,1113,158,16,1129,120,119,99,588,1308,4,1035,1312,157,0,0,,0,0,0,6,151
1952836,2015,5,5,2,OO,5219,N971SW,SBN,ORD,0622,0616,-6,10,0626,44,39,24,84,0550,5,0606,0555,-11,0,0,,,,,,
4248565,2015,9,22,2,DL,134,N3736C,PHX,DTW,1003,0959,-4,19,1018,226,219,193,1671,1631,7,1649,1638,-11,0,0,,,,,,
5671472,2015,12,22,2,AA,333,N3BFAA,BOS,LAX,1000,1002,2,17,1019,396,390,368,2611,1327,5,1336,1332,-4,0,0,,,,,,
2665450,2015,6,17,3,OO,6530,N143SY,SFO,MCI,1620,1633,13,19,1652,225,214,187,1499,2159,8,2205,2207,2,0,0,,,,,,
2269986,2015,5,24,7,MQ,3045,N644MQ,DFW,SAF,1830,1833,3,12,1845,117,99,80,551,1905,7,1927,1912,-15,0,0,,,,,,
3650005,2015,8,15,6,AA,691,N584UW,ORD,CLT,0900,0858,-2,13,0911,122,100,79,599,1130,8,1202,1138,-24,0,0,,,,,,
181974,2015,1,12,1,WN,1789,N7726A,EWR,BNA,1810,2007,117,13,2020,160,139,121,748,2121,5,1950,2126,96,0,0,,0,0,6,90,0
791611,2015,2,22,7,AA,1642,N3JBAA,DFW,EWR,0800,0759,-1,18,0817,182,178,155,1372,1152,5,1202,1157,-5,0,0,,,,,,
3334192,2015,7,27,1,AA,2475,N3ARAA,ORD,SFO,1530,1533,3,15,1548,282,265,247,1846,1755,3,1812,1758,-14,0,0,,,,,,
576208,2015,2,8,7,US,821,N553UW,FLL,CLT,0810,0808,-2,11,0819,122,134,94,631,0953,29,1012,1022,10,0,0,,,,,,
1415465,2015,4,1,3,OO,5404,N943SW,ORD,MBS,1703,1718,15,26,1744,67,68,38,222,1922,4,1910,1926,16,0,0,,1,0,15,0,0
786109,2015,2,21,6,B6,170,N178JB,FLL,BOS,1611,1610,-1,15,1625,187,185,161,1237,1906,9,1918,1915,-3,0,0,,,,,,
2150661,2015,5,17,7,WN,1138,N352SW,DAL,MCI,1105,1235,90,10,1245,85,79,63,460,1348,6,1230,1354,84,0,0,,0,0,0,84,0
4646840,2015,10,17,6,B6,494,N531JB,11292,10721,1225,1219,-6,14,1233,242,220,200,1754,1753,6,1827,1759,-28,0,0,,,,,,
3943482,2015,9,2,3,DL,2136,N352NW,ELP,ATL,1135,1134,-1,11,1145,190,178,158,1282,1623,9,1645,1632,-13,0,0,,,,,,
5568225,2015,12,15,2,EV,4265,N11187,IAH,XNA,1917,1916,-1,18,1934,92,93,70,438,2044,5,2049,2049,0,0,0,,,,,,
1630261,2015,4,15,3,OO,4503,N187PQ,DFW,SLC,0605,0603,-2,28,0631,164,170,134,989,0745,8,0749,0753,4,0,0,,,,,,
2420304,2015,6,3,3,DL,2085,N339NW,GEG,SLC,0615,0609,-6,9,0618,100,99,82,546,0840,8,0855,0848,-7,0,0,,,,,,
5345158,2015,12,1,2,MQ,3075,N0EGMQ,ORD,MSN,1040,1030,-10,13,1043,55,42,26,108,1109,3,1135,1112,-23,0,0,,,,,,
4225853,2015,9,20,7,OO,6212,N958SW,DRO,DEN,2010,2058,48,8,2106,67,57,42,250,2148,7,2117,2155,38,0,0,,0,0,0,38,0
1919510,2015,5,3,7,WN,741,N8618N,CMH,ATL,0605,0600,-5,13,0613,95,86,64,447,0717,9,0740,0726,-14,0,0,,,,,,
2407479,2015,6,2,2,HA,255,N479HA,OGG,HNL,0956,0950,-6,5,0955,35,34,24,100,1019,5,1031,1024,-7,0,0,,,,,,
4774814,2015,10,25,7,OO,5354,N965SW,13184,13930,1633,1623,-10,18,1641,76,69,41,222,1622,10,1649,1632,-17,0,0,,,,,,
4704006,2015,10,21,3,DL,1214,N920AT,11433,11057,0720,0716,-4,20,0736,103,100,74,500,0850,6,0903,0856,-7,0,0,,,,,,
3781612,2015,8,23,7,DL,881,N957DN,ATL,AUS,1215,1307,52,17,1324,137,128,106,813,1410,5,1332,1415,43,0,0,,0,0,43,0,0
3704239,2015,8,18,2,WN,46,N923WN,PIT,HOU,1440,1436,-4,10,1446,185,191,174,1131,1640,7,1645,1647,2,0,0,,,,,,
1215772,2015,3,20,5,DL,2071,N932DL,RSW,LGA,1239,1223,-16,16,1239,171,181,159,1080,1518,6,1530,1524,-6,0,0,,,,,,
206865,2015,1,14,3,OO,4683,N455SW,FAT,SLC,1219,1230,11,12,1242,102,97,80,501,1502,5,1501,1507,6,0,0,,,,,,
389348,2015,1,26,1,AS,66,N794AS,ANC,CDV,1528,1528,0,11,1539,54,45,30,160,1609,4,1622,1613,-9,0,0,,,,,,
5396145,2015,12,4,5,MQ,3420,N831MQ,ORD,COU,1341,1338,-3,10,1348,89,63,51,315,1439,2,1510,1441,-29,0,0,,,,,,
3937860,2015,9,2,3,WN,2918,N776WN,LAS,SJC,0610,0605,-5,16,0621,85,80,58,386,0719,6,0735,0725,-10,0,0,,,,,,
3711799,2015,8,19,3,EV,5313,N849AS,EWN,ATL,0600,0609,9,9,0618,86,91,70,433,0728,12,0726,0740,14,0,0,,,,,,
208791,2015,1,14,3,F9,1139,N203FR,CLE,LAS,1415,1511,56,8,1519,280,262,244,1824,1623,10,1555,1633,38,0,0,,0,0,0,38,0
5691600,2015,12,23,3,DL,1430,N830DN,SEA,DTW,1400,1357,-3,14,1411,250,248,225,1927,2056,9,2110,2105,-5,0,0,,,,,,
670971,2015,2,14,6,WN,4376,N8609A,HOU,DEN,0825,0818,-7,9,0827,165,152,132,883,0939,11,1010,0950,-20,0,0,,,,,,
2701822,2015,6,19,5,AA,1087,N018AA,ATL,DFW,1750,1751,1,17,1808,143,132,105,731,1853,10,1913,1903,-10,0,0,,,,,,
